| end of split  78 /100 | epoch   1 | time: 994.19s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  79 /100 | epoch   1 | time: 989.70s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  80 /100 | epoch   1 | time: 987.84s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  81 /100 | epoch   1 | time: 996.24s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  82 /100 | epoch   1 | time: 979.37s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  83 /100 | epoch   1 | time: 979.15s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  84 /100 | epoch   1 | time: 993.45s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  85 /100 | epoch   1 | time: 979.34s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  86 /100 | epoch   1 | time: 1004.78s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  87 /100 | epoch   1 | time: 988.26s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  88 /100 | epoch   1 | time: 985.78s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  89 /100 | epoch   1 | time: 980.90s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  90 /100 | epoch   1 | time: 996.99s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  91 /100 | epoch   1 | time: 1008.91s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  92 /100 | epoch   1 | time: 995.99s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  93 /100 | epoch   1 | time: 1003.15s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  94 /100 | epoch   1 | time: 999.06s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  95 /100 | epoch   1 | time: 985.08s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  96 /100 | epoch   1 | time: 979.48s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  97 /100 | epoch   1 | time: 980.09s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  98 /100 | epoch   1 | time: 1006.34s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  99 /100 | epoch   1 | time: 996.27s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split 100 /100 | epoch   1 | time: 990.18s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split   1 /100 | epoch   2 | time: 998.37s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split   2 /100 | epoch   2 | time: 998.19s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   3 /100 | epoch   2 | time: 1003.15s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   4 /100 | epoch   2 | time: 990.98s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split   5 /100 | epoch   2 | time: 992.64s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   6 /100 | epoch   2 | time: 997.16s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   7 /100 | epoch   2 | time: 993.98s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   8 /100 | epoch   2 | time: 979.38s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   9 /100 | epoch   2 | time: 1001.70s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  10 /100 | epoch   2 | time: 1005.78s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  11 /100 | epoch   2 | time: 1003.67s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  12 /100 | epoch   2 | time: 987.54s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  13 /100 | epoch   2 | time: 999.59s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  14 /100 | epoch   2 | time: 981.45s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  15 /100 | epoch   2 | time: 996.25s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  16 /100 | epoch   2 | time: 1006.85s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  17 /100 | epoch   2 | time: 984.81s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  18 /100 | epoch   2 | time: 996.47s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  19 /100 | epoch   2 | time: 1008.55s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  20 /100 | epoch   2 | time: 983.23s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  21 /100 | epoch   2 | time: 999.67s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  22 /100 | epoch   2 | time: 1006.11s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  23 /100 | epoch   2 | time: 996.51s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  24 /100 | epoch   2 | time: 997.81s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  25 /100 | epoch   2 | time: 996.32s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  26 /100 | epoch   2 | time: 1006.56s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  27 /100 | epoch   2 | time: 992.38s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  28 /100 | epoch   2 | time: 1007.68s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  29 /100 | epoch   2 | time: 985.98s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  30 /100 | epoch   2 | time: 983.57s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  31 /100 | epoch   2 | time: 1009.71s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  32 /100 | epoch   2 | time: 991.25s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  33 /100 | epoch   2 | time: 1004.51s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  34 /100 | epoch   2 | time: 1008.41s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  35 /100 | epoch   2 | time: 995.13s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  36 /100 | epoch   2 | time: 996.74s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  37 /100 | epoch   2 | time: 1008.01s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  38 /100 | epoch   2 | time: 992.44s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  39 /100 | epoch   2 | time: 1001.96s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  40 /100 | epoch   2 | time: 991.75s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  41 /100 | epoch   2 | time: 994.87s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  42 /100 | epoch   2 | time: 1007.06s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  43 /100 | epoch   2 | time: 1011.08s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  44 /100 | epoch   2 | time: 1006.55s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  45 /100 | epoch   2 | time: 991.34s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  46 /100 | epoch   2 | time: 987.30s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  47 /100 | epoch   2 | time: 992.64s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  48 /100 | epoch   2 | time: 1000.18s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  49 /100 | epoch   2 | time: 1008.88s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  50 /100 | epoch   2 | time: 1007.24s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  51 /100 | epoch   2 | time: 988.38s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  52 /100 | epoch   2 | time: 985.59s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  53 /100 | epoch   2 | time: 999.33s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  54 /100 | epoch   2 | time: 1001.02s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  55 /100 | epoch   2 | time: 998.59s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  56 /100 | epoch   2 | time: 996.14s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  57 /100 | epoch   2 | time: 983.18s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  58 /100 | epoch   2 | time: 1003.48s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  59 /100 | epoch   2 | time: 1010.95s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  60 /100 | epoch   2 | time: 1003.36s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  61 /100 | epoch   2 | time: 987.19s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  62 /100 | epoch   2 | time: 1004.28s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  63 /100 | epoch   2 | time: 1003.06s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  64 /100 | epoch   2 | time: 992.18s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  65 /100 | epoch   2 | time: 986.31s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  66 /100 | epoch   2 | time: 1008.04s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  67 /100 | epoch   2 | time: 995.09s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  68 /100 | epoch   2 | time: 1001.30s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  69 /100 | epoch   2 | time: 995.73s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  70 /100 | epoch   2 | time: 995.88s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  71 /100 | epoch   2 | time: 1000.21s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  72 /100 | epoch   2 | time: 1003.29s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  73 /100 | epoch   2 | time: 996.48s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  74 /100 | epoch   2 | time: 980.42s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  75 /100 | epoch   2 | time: 980.02s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  76 /100 | epoch   2 | time: 1010.17s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  77 /100 | epoch   2 | time: 982.27s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  78 /100 | epoch   2 | time: 1002.78s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  79 /100 | epoch   2 | time: 992.74s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  80 /100 | epoch   2 | time: 998.39s | valid loss  1.08 | valid ppl     2.96 | learning rate 20.00
| end of split  81 /100 | epoch   2 | time: 980.72s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  82 /100 | epoch   2 | time: 990.87s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  83 /100 | epoch   2 | time: 996.88s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  84 /100 | epoch   2 | time: 983.94s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  85 /100 | epoch   2 | time: 1009.36s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  86 /100 | epoch   2 | time: 1011.81s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  87 /100 | epoch   2 | time: 1007.18s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  88 /100 | epoch   2 | time: 991.89s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  89 /100 | epoch   2 | time: 999.80s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  90 /100 | epoch   2 | time: 1005.03s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  91 /100 | epoch   2 | time: 1005.75s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  92 /100 | epoch   2 | time: 989.84s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  93 /100 | epoch   2 | time: 1007.91s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  94 /100 | epoch   2 | time: 981.81s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  95 /100 | epoch   2 | time: 986.15s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  96 /100 | epoch   2 | time: 1004.64s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  97 /100 | epoch   2 | time: 995.81s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  98 /100 | epoch   2 | time: 1006.06s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  99 /100 | epoch   2 | time: 979.80s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split 100 /100 | epoch   2 | time: 153.60s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split   1 /100 | epoch   3 | time: 1012.60s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split   2 /100 | epoch   3 | time: 1022.44s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split   3 /100 | epoch   3 | time: 1001.11s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split   4 /100 | epoch   3 | time: 998.34s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split   5 /100 | epoch   3 | time: 986.70s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split   6 /100 | epoch   3 | time: 1023.30s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split   7 /100 | epoch   3 | time: 1006.63s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split   8 /100 | epoch   3 | time: 1005.19s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split   9 /100 | epoch   3 | time: 1015.08s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  10 /100 | epoch   3 | time: 990.48s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  11 /100 | epoch   3 | time: 1009.98s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  12 /100 | epoch   3 | time: 982.99s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  13 /100 | epoch   3 | time: 987.32s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  14 /100 | epoch   3 | time: 1009.56s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  15 /100 | epoch   3 | time: 1009.70s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  16 /100 | epoch   3 | time: 1006.64s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  17 /100 | epoch   3 | time: 998.61s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  18 /100 | epoch   3 | time: 993.70s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  19 /100 | epoch   3 | time: 1000.90s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  20 /100 | epoch   3 | time: 1008.86s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  21 /100 | epoch   3 | time: 1007.93s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  22 /100 | epoch   3 | time: 155.89s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  23 /100 | epoch   3 | time: 1007.47s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  24 /100 | epoch   3 | time: 991.31s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  25 /100 | epoch   3 | time: 1014.89s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  26 /100 | epoch   3 | time: 980.01s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  27 /100 | epoch   3 | time: 981.89s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  28 /100 | epoch   3 | time: 1003.67s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  29 /100 | epoch   3 | time: 1005.20s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  30 /100 | epoch   3 | time: 1015.79s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  31 /100 | epoch   3 | time: 1005.71s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  32 /100 | epoch   3 | time: 1004.33s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  33 /100 | epoch   3 | time: 1004.27s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  34 /100 | epoch   3 | time: 1011.07s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.00
| end of split  35 /100 | epoch   3 | time: 1010.19s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  36 /100 | epoch   3 | time: 980.76s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  37 /100 | epoch   3 | time: 999.88s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  38 /100 | epoch   3 | time: 1017.12s | valid loss  1.07 | valid ppl     2.92 | learning rate 20.00
| end of split  39 /100 | epoch   3 | time: 1008.44s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  40 /100 | epoch   3 | time: 1014.28s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  41 /100 | epoch   3 | time: 987.13s | valid loss  1.07 | valid ppl     2.92 | learning rate 20.00
| end of split  42 /100 | epoch   3 | time: 996.18s | valid loss  1.08 | valid ppl     2.94 | learning rate 20.00
| end of split  43 /100 | epoch   3 | time: 1017.69s | valid loss  1.07 | valid ppl     2.92 | learning rate 20.00
| end of split  44 /100 | epoch   3 | time: 989.58s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  45 /100 | epoch   3 | time: 999.21s | valid loss  1.08 | valid ppl     2.93 | learning rate 20.00
| end of split  46 /100 | epoch   3 | time: 999.08s | valid loss  1.07 | valid ppl     2.92 | learning rate 20.00
| end of split  47 /100 | epoch   3 | time: 1003.72s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.00
| end of split  48 /100 | epoch   3 | time: 1007.15s | valid loss  1.07 | valid ppl     2.92 | learning rate 20.00
